,epochs,SY0
622,622,0.41703817
623,623,0.4169964
624,624,0.41696182
625,625,0.41694504
626,626,0.41693655
627,627,0.4169271
628,628,0.41691834
629,629,0.4168995
630,630,0.4168848
631,631,0.41688177
632,632,0.4168847
633,633,0.41688707
634,634,0.4168799
635,635,0.41685933
636,636,0.4168357
637,637,0.41681516
638,638,0.41679335
639,639,0.41676208
640,640,0.41671902
641,641,0.41668344
642,642,0.41666663
643,643,0.41666773
644,644,0.4166849
645,645,0.41669118
646,646,0.41667897
647,647,0.41666728
648,648,0.41666707
649,649,0.41668022
650,650,0.41669983
651,651,0.4167166
652,652,0.4167087
653,653,0.4166819
654,654,0.416651
655,655,0.41662118
656,656,0.41659385
657,657,0.41657275
658,658,0.4165601
659,659,0.41655302
660,660,0.41654775
661,661,0.41653842
662,662,0.41652015
663,663,0.4164965
664,664,0.41647798
665,665,0.4164651
666,666,0.41645312
667,667,0.4164354
668,668,0.4164079
669,669,0.41637474
670,670,0.41634005
671,671,0.41630992
672,672,0.41628805
673,673,0.41627267
674,674,0.4162567
675,675,0.41623852
676,676,0.41621786
677,677,0.41619554
678,678,0.41617534
679,679,0.4161586
680,680,0.41614252
681,681,0.4161253
682,682,0.41610634
683,683,0.41608542
684,684,0.41606575
685,685,0.41604924
686,686,0.41603553
687,687,0.4160239
688,688,0.41601098
689,689,0.41599658
690,690,0.41598183
691,691,0.41596738
692,692,0.41595268
693,693,0.4159372
694,694,0.4159203
695,695,0.41590318
696,696,0.41588688
697,697,0.415873
698,698,0.41586035
699,699,0.41584674
700,700,0.4158307
701,701,0.41581288
702,702,0.4157967
703,703,0.41578314
704,704,0.41577214
705,705,0.41576123
706,706,0.41574824
707,707,0.41573375
708,708,0.41571888
709,709,0.4157077
710,710,0.41569975
711,711,0.4156934
712,712,0.41568765
713,713,0.41567943
714,714,0.4156676
715,715,0.41565612
716,716,0.41565043
717,717,0.4156423
718,718,0.41563326
719,719,0.41562942
720,720,0.4156296
721,721,0.41561067
722,722,0.41558677
723,723,0.4155818
724,724,0.41559204
725,725,0.41560456
726,726,0.41560188
727,727,0.41558072
728,728,0.41556618
729,729,0.415567
730,730,0.41557693
731,731,0.4155848
732,732,0.4155915
733,733,0.4155887
734,734,0.41557577
735,735,0.415561
736,736,0.41555834
737,737,0.41556647
738,738,0.41557577
739,739,0.41557088
740,740,0.4155617
741,741,0.41555646
742,742,0.41555715
743,743,0.4155578
744,744,0.41555583
745,745,0.41555208
746,746,0.41554943
747,747,0.41554132
748,748,0.4155315
749,749,0.41552338
750,750,0.41552418
751,751,0.4155321
752,752,0.4155365
753,753,0.4155243
754,754,0.415508
755,755,0.41549754
756,756,0.41549328
757,757,0.41548425
758,758,0.415474
759,759,0.41546744
760,760,0.41546384
761,761,0.4154561
762,762,0.4154471
763,763,0.4154423
764,764,0.41544253
765,765,0.41544554
766,766,0.415446
767,767,0.41543648
768,768,0.4154324
769,769,0.41543046
770,770,0.41542032
771,771,0.4154044
772,772,0.41539368
773,773,0.41539112
